Query,Response,language,intent,Response_DE,Response_TA
Wie ändere ich mein Kontokennwort?,"To change your account word, log in to your online banking account, contact the ""Security"" settings and follow the instructions to update your password.",de,unknown,"Um Ihr Kontokennwort zu ändern, melden Sie sich in Ihr Online -Banking -Konto an, wenden Sie sich zu den Einstellungen der „Sicherheit“ und befolgen Sie die Anweisungen, um Ihr Passwort zu aktualisieren.",
Hallo,"Hello, my name is Alice from XYZ Bank.How can I help you?",de,unknown,"Hallo, mein Name ist Alice von der XYZ Bank. Wie kann ich dir helfen?",
How can I update my email address?,Update your email address by logging into your online banking account and accessing the 'Profile' or 'Contact Information' section.,en,unknown,"Aktualisieren Sie Ihre E -Mail -Adresse, indem Sie sich in Ihrem Online -Banking -Konto anmelden und auf den Abschnitt ""Profil"" oder ""Kontaktinformationen"" zugreifen.",உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து 'சுயவிவரம்' அல்லது 'தொடர்புத் தகவல்' பகுதியை அணுகுவதன் மூலம் உங்கள் மின்னஞ்சல் முகவரியைப் புதுப்பிக்கவும்.
What is the interest rate for a personal loan?,The current interest rate for a personal loan is 16.3%.,en,loan_info,"Der aktuelle Zinssatz für ein persönliches Darlehen beträgt 16,3%.",தனிப்பட்ட கடனுக்கான தற்போதைய வட்டி விகிதம் 16.3%ஆகும்.
வரி தாக்கல் செய்வதில் எனக்கு உதவி கிடைக்குமா?,Consider consulting with a tax consultant or financial planner for assistance for tax filing.We can provide resources and assistance through our services.,ta,unknown,,"வரி தாக்கல் செய்வதற்கான உதவிக்கு, வரி ஆலோசகர் அல்லது நிதித் திட்டமிடுபவருடன் கலந்தாலோசிப்பதைக் கவனியுங்கள். எங்கள் சேவைகள் மூலம் வளங்களையும் உதவிகளையும் நாங்கள் வழங்கலாம்."
What is the interest rate for a education loan?,The current interest rate for a education loan is 9.5%.,en,loan_info,"Der aktuelle Zinssatz für ein Bildungsdarlehen beträgt 9,5%.",கல்வி கடனுக்கான தற்போதைய வட்டி விகிதம் 9.5%ஆகும்.
What is the interest rate for a medical loan?,The current interest rate for a medical loan is 16.7%.,en,loan_info,"Der aktuelle Zinssatz für ein medizinisches Darlehen beträgt 16,7%.",மருத்துவ கடனுக்கான தற்போதைய வட்டி விகிதம் 16.7%ஆகும்.
Kann ich Unterstützung bei der Finanzplanung erhalten?,"Yes, we offer support for financial planning.Contact our financial advisors to get help with the planning and management of your finances.",de,unknown,"Ja, wir bieten Unterstützung bei finanzieller Planung. Wenden Sie sich an unsere Finanzberater, um Hilfe bei der Planung und Verwaltung Ihrer Finanzen zu erhalten.",
எனது கணக்கு வரலாற்றின் நகலைப் பெற முடியுமா?,"Yes, you can get a copy of your account history by requesting information through the 'Account Activity' section of your online bank account.",ta,unknown,,"ஆம், உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து 'கணக்கு செயல்பாடு' பிரிவு மூலம் தகவல்களைக் கோருவதன் மூலம் உங்கள் கணக்கு வரலாற்றின் நகலைப் பெறலாம்."
Wie richte ich ein gemeinsames Konto ein?,"To set up a common account, visit a branch or contact customer service to do the necessary documents and identify all account holders.",de,unknown,"Um ein gemeinsames Konto einzurichten, besuchen Sie eine Filiale oder wenden Sie sich an den Kundendienst, um die erforderlichen Unterlagen zu erledigen und alle Kontoinhaber zu identifizieren.",
What is the interest rate for a medical loan?,The current interest rate for a medical loan is 10.6%.,en,loan_info,"Der aktuelle Zinssatz für ein medizinisches Darlehen beträgt 10,6%.",மருத்துவ கடனுக்கான தற்போதைய வட்டி விகிதம் 10.6%ஆகும்.
What is the interest rate for a debtconsolidation loan?,The current interest rate for a debtconsolidation loan is 9.6%.,en,loan_info,"Der aktuelle Zinssatz für ein Schuldenkonsolidierungsdarlehen beträgt 9,6%.",கடன் ஒருங்கிணைப்பு கடனுக்கான தற்போதைய வட்டி விகிதம் 9.6%ஆகும்.
What is the interest rate for a venture loan?,The current interest rate for a venture loan is 10.6%.,en,loan_info,"Der aktuelle Zinssatz für ein Risikokredit beträgt 10,6%.",துணிகர கடனுக்கான தற்போதைய வட்டி விகிதம் 10.6%ஆகும்.
How do I change my contact information?,"To change your contact information, log into your online banking account and update your details in the 'Profile' section.",en,unknown,"Um Ihre Kontaktinformationen zu ändern, melden Sie sich in Ihr Online -Banking -Konto an und aktualisieren Sie Ihre Daten im Abschnitt ""Profil"".","உங்கள் தொடர்புத் தகவலை மாற்ற, உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து உங்கள் விவரங்களை 'சுயவிவரம்' பிரிவில் புதுப்பிக்கவும்."
What are your fees for account maintenance?,Fees for account maintenance can be found on our fee schedule. Please review the information on our website or contact customer service.,en,unknown,Fees for account maintenance can be found on our fee schedule. Please review the information on our website or contact customer service.,
எனது தனிப்பட்ட தகவல்களை ஆன்லைனில் புதுப்பிக்க முடியுமா?,"Yes, you can update your personal information, such as address or phone number by logging into your online bank account and accessing the 'Profile' area.",ta,unknown,,"ஆம், உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து 'சுயவிவரம்' பகுதியை அணுகுவதன் மூலம் முகவரி அல்லது தொலைபேசி எண் போன்ற உங்கள் தனிப்பட்ட தகவல்களை புதுப்பிக்கலாம்."
Kann ich wiederkehrende Zahlungen planen?,"Yes, you can plan recurring payments via our online banking portal or our mobile app by setting up automatic payments for your invoices.",de,unknown,"Ja, Sie können wiederkehrende Zahlungen über unser Online -Banking -Portal oder unsere mobile App planen, indem Sie automatische Zahlungen für Ihre Rechnungen einrichten.",
bye bye,Sad to see you go :(,en,goodbye,"Traurig zu sehen, dass du gehst :(",நீங்கள் செல்வதைக் கண்டு வருத்தமாக இருக்கிறது :(
Kann ich über einen Webbrowser auf mein Konto zugreifen?,"Yes, you can access your account via a web browser by registering in our online banking platform.",de,unknown,"Ja, Sie können über einen Webbrowser auf Ihr Konto zugreifen, indem Sie sich in unserer Online -Banking -Plattform anmelden.",
What is the interest rate for a homeimprovement loan?,The current interest rate for a homeimprovement loan is 15.9%.,en,loan_info,"Der aktuelle Zinssatz für ein Hausverbesserungsdarlehen beträgt 15,9%.",வீட்டு மேம்பாட்டுக் கடனுக்கான தற்போதைய வட்டி விகிதம் 15.9%ஆகும்.
What is the interest rate for a medical loan?,The current interest rate for a medical loan is 15.4%.,en,loan_info,"Der aktuelle Zinssatz für ein medizinisches Darlehen beträgt 15,4%.",மருத்துவ கடனுக்கான தற்போதைய வட்டி விகிதம் 15.4%ஆகும்.
What is the interest rate for a medical loan?,The current interest rate for a medical loan is 19.1%.,en,loan_info,"Der aktuelle Zinssatz für ein medizinisches Darlehen beträgt 19,1%.",மருத்துவ கடனுக்கான தற்போதைய வட்டி விகிதம் 19.1%ஆகும்.
What is the interest rate for a medical loan?,The current interest rate for a medical loan is 18.7%.,en,loan_info,"Der aktuelle Zinssatz für ein medizinisches Darlehen beträgt 18,7%.",மருத்துவ கடனுக்கான தற்போதைய வட்டி விகிதம் 18.7%ஆகும்.
What is the interest rate for a medical loan?,The current interest rate for a medical loan is 8.7%.,en,loan_info,"Der aktuelle Zinssatz für ein medizinisches Darlehen beträgt 8,7%.",மருத்துவ கடனுக்கான தற்போதைய வட்டி விகிதம் 8.7%ஆகும்.
வங்கியில் இருந்து வந்ததாகக் கூறி சந்தேகத்திற்கிடமான அழைப்பைப் பெற்றால் நான் என்ன செய்ய வேண்டும்?,"Do not provide any personal information.To check the legitimate character of the call, please contact the customer service using our official telephone number.",ta,unknown,,எந்தவொரு தனிப்பட்ட தகவலையும் வழங்க வேண்டாம். அழைப்பின் சட்டபூர்வமான தன்மையை சரிபார்க்க எங்கள் அதிகாரப்பூர்வ தொலைபேசி எண்ணைப் பயன்படுத்தி வாடிக்கையாளர் சேவையைத் தொங்கவிட்டு தொடர்பு கொள்ளுங்கள்.
வீட்டு முன்னேற்றத்திற்கு நான் கடன் பெறலாமா?,"Yes, we are offering debts for home improvement.Apply online to talk to a credit officer about your preferences or visit a branch.",ta,unknown,,"ஆம், வீட்டு முன்னேற்றத்திற்கு நாங்கள் கடன்களை வழங்குகிறோம். உங்கள் விருப்பங்களைப் பற்றி கடன் அதிகாரியுடன் பேச ஆன்லைனில் விண்ணப்பிக்கவும் அல்லது ஒரு கிளையைப் பார்வையிடவும்."
What is the interest rate for a homeimprovement loan?,The current interest rate for a homeimprovement loan is 18.0%.,en,loan_info,"Der aktuelle Zinssatz für ein Hausverbesserungsdarlehen beträgt 18,0%.",வீட்டு மேம்பாட்டுக் கடனுக்கான தற்போதைய வட்டி விகிதம் 18.0%ஆகும்.
What is the interest rate for a venture loan?,The current interest rate for a venture loan is 8.3%.,en,loan_info,"Der aktuelle Zinssatz für ein Risikokredit beträgt 8,3%.",துணிகர கடனுக்கான தற்போதைய வட்டி விகிதம் 8.3%ஆகும்.
கணக்குகளுக்கு இடையில் தானியங்கி பரிமாற்றத்தை எவ்வாறு அமைப்பது?,Set up an automatic transmission by selecting 'exchange funds' and planning transfers.,ta,unknown,,"உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து, 'பரிமாற்ற நிதிகளை' தேர்ந்தெடுத்து, இடமாற்றங்களை திட்டமிடுவதன் மூலம் தானியங்கி பரிமாற்றத்தை அமைக்கவும்."
"Was ist der maximale Betrag, den ich von einem Geldautomaten abheben kann?",The maximum payment limit of the ATM varies depending on the account type and location.Please inquire with your account details or contact customer service to certain limits.,de,unknown,Die maximale Auszahlungslimit des Geldautomaten variiert je nach Kontokontyp und Standort. Bitte erkundigen Sie sich mit Ihren Kontodaten oder wenden Sie sich an den Kundendienst nach bestimmten Grenzen.,
What are your procedures for account reconciliation?,Account reconciliation procedures can be found on our website or by contacting customer service for specific details.,en,unknown,Account reconciliation procedures can be found on our website or by contacting customer service for specific details.,
What is the interest rate for a debtconsolidation loan?,The current interest rate for a debtconsolidation loan is 17.1%.,en,loan_info,"Der aktuelle Zinssatz für ein Schuldenkonsolidierungsdarlehen beträgt 17,1%.",கடன் ஒருங்கிணைப்பு கடனுக்கான தற்போதைய வட்டி விகிதம் 17.1%ஆகும்.
What is the interest rate for a medical loan?,The current interest rate for a medical loan is 6.6%.,en,loan_info,"Der aktuelle Zinssatz für ein medizinisches Darlehen beträgt 6,6%.",மருத்துவ கடனுக்கான தற்போதைய வட்டி விகிதம் 6.6%ஆகும்.
What is the interest rate for a debtconsolidation loan?,The current interest rate for a debtconsolidation loan is 15.4%.,en,loan_info,"Der aktuelle Zinssatz für ein Schuldenkonsolidierungsdarlehen beträgt 15,4%.",கடன் ஒருங்கிணைப்பு கடனுக்கான தற்போதைய வட்டி விகிதம் 15.4%ஆகும்.
What is the interest rate for a debtconsolidation loan?,The current interest rate for a debtconsolidation loan is 10.5%.,en,loan_info,"Der aktuelle Zinssatz für ein Schuldenkonsolidierungsdarlehen beträgt 10,5%.",கடன் ஒருங்கிணைப்பு கடனுக்கான தற்போதைய வட்டி விகிதம் 10.5%ஆகும்.
What is the interest rate for a homeimprovement loan?,The current interest rate for a homeimprovement loan is 12.3%.,en,loan_info,"Der aktuelle Zinssatz für ein Hausverbesserungsdarlehen beträgt 12,3%.",வீட்டு மேம்பாட்டுக் கடனுக்கான தற்போதைய வட்டி விகிதம் 12.3%ஆகும்.
What is the interest rate for a venture loan?,The current interest rate for a venture loan is 6.7%.,en,loan_info,"Der aktuelle Zinssatz für ein Risikokredit beträgt 6,7%.",துணிகர கடனுக்கான தற்போதைய வட்டி விகிதம் 6.7%ஆகும்.
எனது பில்களுக்கு தானாக ஊதியத்தை எவ்வாறு அமைப்பது?,Set up your bills for your bills through our online banking portal or mobile app by selecting 'Bill Pay' and setting automatic allowances.,ta,unknown,,'பில் ஊதியம்' என்பதைத் தேர்ந்தெடுத்து தானியங்கி கொடுப்பனவுகளை உள்ளமைப்பதன் மூலம் எங்கள் ஆன்லைன் வங்கி போர்டல் அல்லது மொபைல் பயன்பாட்டின் மூலம் உங்கள் பில்களுக்கு தானாக ஊதியம் அமைக்கவும்.
What is the interest rate for a education loan?,The current interest rate for a education loan is 15.2%.,en,loan_info,"Der aktuelle Zinssatz für ein Bildungsdarlehen beträgt 15,2%.",கல்வி கடனுக்கான தற்போதைய வட்டி விகிதம் 15.2%ஆகும்.
What is the interest rate for a personal loan?,The current interest rate for a personal loan is 18.7%.,en,loan_info,"Der aktuelle Zinssatz für ein persönliches Darlehen beträgt 18,7%.",தனிப்பட்ட கடனுக்கான தற்போதைய வட்டி விகிதம் 18.7%ஆகும்.
நீங்கள் நிதி கல்வியறிவு வளங்களை வழங்குகிறீர்களா?,"Yes, we offer financial literacy resources.Visit our website or contact customer service to access educational materials and workshops.",ta,unknown,,"ஆம், நாங்கள் நிதி கல்வியறிவு வளங்களை வழங்குகிறோம். கல்விப் பொருட்கள் மற்றும் பட்டறைகளை அணுக எங்கள் வலைத்தளத்தைப் பார்வையிடவும் அல்லது வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்."
What is the interest rate for a homeimprovement loan?,The current interest rate for a homeimprovement loan is 18.2%.,en,loan_info,"Der aktuelle Zinssatz für ein Hausverbesserungsdarlehen beträgt 18,2%.",வீட்டு மேம்பாட்டுக் கடனுக்கான தற்போதைய வட்டி விகிதம் 18.2%ஆகும்.
What is the interest rate for a debtconsolidation loan?,The current interest rate for a debtconsolidation loan is 12.6%.,en,loan_info,"Der aktuelle Zinssatz für ein Schuldenkonsolidierungsdarlehen beträgt 12,6%.",கடன் ஒருங்கிணைப்பு கடனுக்கான தற்போதைய வட்டி விகிதம் 12.6%ஆகும்.
What is the interest rate for a venture loan?,The current interest rate for a venture loan is 16.0%.,en,loan_info,"Der aktuelle Zinssatz für ein Risikokredit beträgt 16,0%.",துணிகர கடனுக்கான தற்போதைய வட்டி விகிதம் 16.0%ஆகும்.
What is the interest rate for a homeimprovement loan?,The current interest rate for a homeimprovement loan is 12.7%.,en,loan_info,"Der aktuelle Zinssatz für ein Hausverbesserungsdarlehen beträgt 12,7%.",வீட்டு மேம்பாட்டுக் கடனுக்கான தற்போதைய வட்டி விகிதம் 12.7%ஆகும்.
What is the interest rate for a venture loan?,The current interest rate for a venture loan is 10.3%.,en,loan_info,"Der aktuelle Zinssatz für ein Risikokredit beträgt 10,3%.",துணிகர கடனுக்கான தற்போதைய வட்டி விகிதம் 10.3%ஆகும்.
Wie beantrage ich eine Kreditkarte?,"To apply for a credit card, visit our website and fill out the online application form or visit a branch to apply personally.",de,unknown,"Um eine Kreditkarte zu beantragen, besuchen Sie unsere Website und füllen Sie das Online -Bewerbungsformular aus oder besuchen Sie eine Filiale, um sich persönlich zu bewerben.",
எனது டெபிட் கார்டை சர்வதேச அளவில் பயன்படுத்தலாமா?,"Yes, you can use your debit card internationally.Please inform us before traveling to avoid any problems in blocking your card.",ta,unknown,,"ஆம், உங்கள் டெபிட் கார்டை சர்வதேச அளவில் பயன்படுத்தலாம். உங்கள் அட்டை தடுக்கப்படுவதில் ஏதேனும் சிக்கல்களைத் தவிர்க்க பயணம் செய்வதற்கு முன் எங்களுக்குத் தெரிவிக்கவும்."
What is the interest rate for a medical loan?,The current interest rate for a medical loan is 10.3%.,en,loan_info,"Der aktuelle Zinssatz für ein medizinisches Darlehen beträgt 10,3%.",மருத்துவ கடனுக்கான தற்போதைய வட்டி விகிதம் 10.3%ஆகும்.
What is the interest rate for a medical loan?,The current interest rate for a medical loan is 7.2%.,en,loan_info,"Der aktuelle Zinssatz für ein medizinisches Darlehen beträgt 7,2%.",மருத்துவ கடனுக்கான தற்போதைய வட்டி விகிதம் 7.2%ஆகும்.
நீங்கள் கணக்கு பாதுகாப்பு சேவைகளை வழங்குகிறீர்களா?,"Yes, we offer account security services.Contact the Customer Service for information on available security options or visit our website.",ta,unknown,,"ஆம், நாங்கள் கணக்கு பாதுகாப்பு சேவைகளை வழங்குகிறோம். கிடைக்கக்கூடிய பாதுகாப்பு விருப்பங்கள் குறித்த தகவலுக்கு வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளுங்கள் அல்லது எங்கள் வலைத்தளத்தைப் பார்வையிடவும்."
What is the interest rate for a debtconsolidation loan?,The current interest rate for a debtconsolidation loan is 19.2%.,en,loan_info,"Der aktuelle Zinssatz für ein Schuldenkonsolidierungsdarlehen beträgt 19,2%.",கடன் ஒருங்கிணைப்பு கடனுக்கான தற்போதைய வட்டி விகிதம் 19.2%ஆகும்.
What is the interest rate for a medical loan?,The current interest rate for a medical loan is 18.0%.,en,loan_info,"Der aktuelle Zinssatz für ein medizinisches Darlehen beträgt 18,0%.",மருத்துவ கடனுக்கான தற்போதைய வட்டி விகிதம் 18.0%ஆகும்.
What is the interest rate for a personal loan?,The current interest rate for a personal loan is 16.4%.,en,loan_info,"Der aktuelle Zinssatz für ein persönliches Darlehen beträgt 16,4%.",தனிப்பட்ட கடனுக்கான தற்போதைய வட்டி விகிதம் 16.4%ஆகும்.
What is the interest rate for a education loan?,The current interest rate for a education loan is 11.8%.,en,loan_info,"Der aktuelle Zinssatz für ein Bildungsdarlehen beträgt 11,8%.",கல்வி கடனுக்கான தற்போதைய வட்டி விகிதம் 11.8%ஆகும்.
What is the interest rate for a personal loan?,The current interest rate for a personal loan is 15.6%.,en,loan_info,"Der aktuelle Zinssatz für ein persönliches Darlehen beträgt 15,6%.",தனிப்பட்ட கடனுக்கான தற்போதைய வட்டி விகிதம் 15.6%ஆகும்.
புதிய காருக்கு நான் எவ்வாறு கடன் பெறுவது?,"To apply for a car loan, visit our website to complete the online application or visit a branch to talk to the credit officer.",ta,unknown,,"கார் கடனுக்கு விண்ணப்பிக்க, ஆன்லைன் விண்ணப்பத்தை முடிக்க எங்கள் வலைத்தளத்தைப் பார்வையிடவும் அல்லது கடன் அதிகாரியுடன் பேச ஒரு கிளையைப் பார்வையிடவும்."
மாணவர் பட்ஜெட்டில் நான் உதவி பெற முடியுமா?,"Yes, we provide budget assistance to students.Contact our Financial Advisors to help you manage your funds while studying.",ta,unknown,,"ஆம், நாங்கள் மாணவர்களுக்கு பட்ஜெட் உதவியை வழங்குகிறோம். படிக்கும் போது உங்கள் நிதிகளை நிர்வகிக்க உதவி பெற எங்கள் நிதி ஆலோசகர்களைத் தொடர்பு கொள்ளுங்கள்."
What is the interest rate for a education loan?,The current interest rate for a education loan is 19.1%.,en,loan_info,"Der aktuelle Zinssatz für ein Bildungsdarlehen beträgt 19,1%.",கல்வி கடனுக்கான தற்போதைய வட்டி விகிதம் 19.1%ஆகும்.
Kann ich einen Finanzberattermin bekommen?,"Yes, you can make an appointment with a financial advisor by contacting our office or visiting our website to set up a meeting.",de,unknown,"Ja, Sie können einen Termin bei einem Finanzberater vereinbaren, indem Sie sich an unser Büro kontaktieren oder unsere Website besuchen, um ein Treffen einzurichten.",
What is the interest rate for a debtconsolidation loan?,The current interest rate for a debtconsolidation loan is 8.6%.,en,loan_info,"Der aktuelle Zinssatz für ein Schuldenkonsolidierungsdarlehen beträgt 8,6%.",கடன் ஒருங்கிணைப்பு கடனுக்கான தற்போதைய வட்டி விகிதம் 8.6%ஆகும்.
How can I request a change in my account type?,"To request a change in your account type, contact customer service or visit a branch to discuss the available options and requirements.",en,unknown,"Um eine Änderung Ihres Kontotyps anzufordern, wenden Sie sich an den Kundendienst oder besuchen Sie eine Filiale, um die verfügbaren Optionen und Anforderungen zu besprechen.","உங்கள் கணக்கு வகையில் மாற்றத்தைக் கோர, வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளுங்கள் அல்லது கிடைக்கக்கூடிய விருப்பங்கள் மற்றும் தேவைகளைப் பற்றி விவாதிக்க ஒரு கிளையைப் பார்வையிடவும்."
What is the interest rate for a personal loan?,The current interest rate for a personal loan is 18.4%.,en,loan_info,"Der aktuelle Zinssatz für ein persönliches Darlehen beträgt 18,4%.",தனிப்பட்ட கடனுக்கான தற்போதைய வட்டி விகிதம் 18.4%ஆகும்.
What is the interest rate for a venture loan?,The current interest rate for a venture loan is 14.2%.,en,loan_info,"Der aktuelle Zinssatz für ein Risikokredit beträgt 14,2%.",துணிகர கடனுக்கான தற்போதைய வட்டி விகிதம் 14.2%ஆகும்.
What is the interest rate for a venture loan?,The current interest rate for a venture loan is 7.3%.,en,loan_info,"Der aktuelle Zinssatz für ein Risikokredit beträgt 7,3%.",துணிகர கடனுக்கான தற்போதைய வட்டி விகிதம் 7.3%ஆகும்.
What are your policies on account overdraft?,Our policies on overdraft protection and fees can be found on our website or by contacting customer service for specific details.,en,unknown,Our policies on overdraft protection and fees can be found on our website or by contacting customer service for specific details.,
What is the interest rate for a venture loan?,The current interest rate for a venture loan is 7.0%.,en,loan_info,"Der aktuelle Zinssatz für ein Risikokredit beträgt 7,0%.",துணிகர கடனுக்கான தற்போதைய வட்டி விகிதம் 7.0%ஆகும்.
What is the interest rate for a venture loan?,The current interest rate for a venture loan is 14.9%.,en,loan_info,"Der aktuelle Zinssatz für ein Risikokredit beträgt 14,9%.",துணிகர கடனுக்கான தற்போதைய வட்டி விகிதம் 14.9%ஆகும்.
வங்கி அறிக்கையை நான் எவ்வாறு கோர முடியும்?,"You can send you a report by contacting online banking, our mobile app or customer service.",ta,unknown,,"ஆன்லைன் வங்கி, எங்கள் மொபைல் பயன்பாடு அல்லது வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலம் உங்களுக்கு ஒரு அறிக்கை அனுப்பலாம்."
What should I do if I notice an unauthorized transaction?,Report any unauthorized transactions to customer service immediately to resolve the issue and secure your account.,en,unknown,"Melden Sie alle nicht autorisierten Transaktionen sofort in den Kundendienst, um das Problem zu beheben und Ihr Konto zu sichern.","சிக்கலைத் தீர்க்கவும், உங்கள் கணக்கைப் பாதுகாக்கவும் வாடிக்கையாளர் சேவைக்கு அங்கீகரிக்கப்படாத எந்தவொரு பரிவர்த்தனைகளையும் உடனடியாகப் புகாரளிக்கவும்."
Kann ich Hilfe bei Budgetierung und Finanzplanung bekommen?,"Yes, we offer budget and financial planning aid.Contact us to arrange a meeting with one of our financial advisors.",de,unknown,"Ja, wir bieten Budget- und Finanzplanungshilfe an. Kontaktieren Sie uns, um ein Treffen mit einem unserer Finanzberater zu vereinbaren.",
What is the interest rate for a personal loan?,The current interest rate for a personal loan is 12.2%.,en,loan_info,"Der aktuelle Zinssatz für ein persönliches Darlehen beträgt 12,2%.",தனிப்பட்ட கடனுக்கான தற்போதைய வட்டி விகிதம் 12.2%ஆகும்.
What is the interest rate for a medical loan?,The current interest rate for a medical loan is 10.7%.,en,loan_info,"Der aktuelle Zinssatz für ein medizinisches Darlehen beträgt 10,7%.",மருத்துவ கடனுக்கான தற்போதைய வட்டி விகிதம் 10.7%ஆகும்.
What is the interest rate for a medical loan?,The current interest rate for a medical loan is 14.0%.,en,loan_info,"Der aktuelle Zinssatz für ein medizinisches Darlehen beträgt 14,0%.",மருத்துவ கடனுக்கான தற்போதைய வட்டி விகிதம் 14.0%ஆகும்.
What is the interest rate for a venture loan?,The current interest rate for a venture loan is 13.1%.,en,loan_info,"Der aktuelle Zinssatz für ein Risikokredit beträgt 13,1%.",துணிகர கடனுக்கான தற்போதைய வட்டி விகிதம் 13.1%ஆகும்.
What is the interest rate for a education loan?,The current interest rate for a education loan is 12.7%.,en,loan_info,"Der aktuelle Zinssatz für ein Bildungsdarlehen beträgt 12,7%.",கல்வி கடனுக்கான தற்போதைய வட்டி விகிதம் 12.7%ஆகும்.
What is the interest rate for a medical loan?,The current interest rate for a medical loan is 5.5%.,en,loan_info,"Der aktuelle Zinssatz für ein medizinisches Darlehen beträgt 5,5%.",மருத்துவ கடனுக்கான தற்போதைய வட்டி விகிதம் 5.5%ஆகும்.
What is the interest rate for a medical loan?,The current interest rate for a medical loan is 14.6%.,en,loan_info,"Der aktuelle Zinssatz für ein medizinisches Darlehen beträgt 14,6%.",மருத்துவ கடனுக்கான தற்போதைய வட்டி விகிதம் 14.6%ஆகும்.
What is the interest rate for a venture loan?,The current interest rate for a venture loan is 5.5%.,en,loan_info,"Der aktuelle Zinssatz für ein Risikokredit beträgt 5,5%.",துணிகர கடனுக்கான தற்போதைய வட்டி விகிதம் 5.5%ஆகும்.
What is the interest rate for a education loan?,The current interest rate for a education loan is 11.4%.,en,loan_info,"Der aktuelle Zinssatz für ein Bildungsdarlehen beträgt 11,4%.",கல்வி கடனுக்கான தற்போதைய வட்டி விகிதம் 11.4%ஆகும்.
What is the interest rate for a personal loan?,The current interest rate for a personal loan is 15.4%.,en,loan_info,"Der aktuelle Zinssatz für ein persönliches Darlehen beträgt 15,4%.",தனிப்பட்ட கடனுக்கான தற்போதைய வட்டி விகிதம் 15.4%ஆகும்.
What is the interest rate for a debtconsolidation loan?,The current interest rate for a debtconsolidation loan is 19.4%.,en,loan_info,"Der aktuelle Zinssatz für ein Schuldenkonsolidierungsdarlehen beträgt 19,4%.",கடன் ஒருங்கிணைப்பு கடனுக்கான தற்போதைய வட்டி விகிதம் 19.4%ஆகும்.
உங்கள் கிளை நேரம் என்ன?,Branch time varies based on location.Please visit our website or contact your nearest branch for a specific hour function.,ta,unknown,,கிளை நேரம் இருப்பிடத்தின் அடிப்படையில் மாறுபடும். தயவுசெய்து எங்கள் வலைத்தளத்தைப் பார்வையிடவும் அல்லது குறிப்பிட்ட மணிநேர செயல்பாட்டிற்கு உங்கள் அருகிலுள்ள கிளையைத் தொடர்பு கொள்ளவும்.
What is the interest rate for a education loan?,The current interest rate for a education loan is 18.1%.,en,loan_info,"Der aktuelle Zinssatz für ein Bildungsdarlehen beträgt 18,1%.",கல்வி கடனுக்கான தற்போதைய வட்டி விகிதம் 18.1%ஆகும்.
Bieten Sie Finanzplanungsdienstleistungen an?,"Yes, we offer financial planning services.Please visit our website or contact our financial advisors to obtain further information and arrange advice.",de,unknown,"Ja, wir bieten Finanzplanungsdienstleistungen an. Bitte besuchen Sie unsere Website oder wenden Sie sich an unsere Finanzberater, um weitere Informationen zu erhalten und eine Beratung zu vereinbaren.",
கடன் அறிக்கையை நான் எவ்வாறு பெறுவது?,Log in your online banking account and request a credit report by contacting the customer service or visiting a branch.,ta,unknown,,"உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து, வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலம் அல்லது ஒரு கிளையைப் பார்வையிடுவதன் மூலம் கடன் அறிக்கையை கோருங்கள்."
Wie richte ich automatisch für meine Rechnungen ein?,"Set up your online banking portal or the mobile app automatically for your invoices for your bills by selecting ""Bill Pay"" and configuring automatic payments.",de,unknown,"Richten Sie über unser Online-Banking-Portal oder die mobile App automatisch für Ihre Rechnungen für Ihre Rechnungen ein, indem Sie ""Bill Pay"" auswählen und automatische Zahlungen konfigurieren.",
Can I get help with understanding my account statement?,"Yes, you can get help with understanding your account statement by contacting customer service for clarification on any charges or details.",en,unknown,"Yes, you can get help with understanding your account statement by contacting customer service for clarification on any charges or details.",
What is the interest rate for a debtconsolidation loan?,The current interest rate for a debtconsolidation loan is 19.9%.,en,loan_info,"Der aktuelle Zinssatz für ein Schuldenkonsolidierungsdarlehen beträgt 19,9%.",கடன் ஒருங்கிணைப்பு கடனுக்கான தற்போதைய வட்டி விகிதம் 19.9%ஆகும்.
Bieten Sie Versicherungsprodukte an?,"Yes, we offer various insurance products.Please visit our website or contact customer service to obtain further information on insurance options.",de,unknown,"Ja, wir bieten verschiedene Versicherungsprodukte an. Bitte besuchen Sie unsere Website oder wenden Sie sich an den Kundendienst, um weitere Informationen zu Versicherungsoptionen zu erhalten.",
