Query,Response,language,intent
How do I dispute a charge on my credit card?,"To dispute a charge, contact our customer service with the details of the charge and any supporting documentation.",en,unknown
எனது கணக்கில் மோசடி நடவடிக்கைகளை நான் சந்தேகித்தால் நான் என்ன செய்ய வேண்டும்?,"மோசடி செயல்பாட்டை நீங்கள் சந்தேகித்தால், எங்கள் வாடிக்கையாளர் சேவையைப் புகாரளிக்க உடனடியாக தொடர்பு கொண்டு உங்கள் கணக்கைப் பாதுகாக்கவும்.",ta,unknown
நீங்கள் நிதி திட்டமிடல் சேவைகளை வழங்குகிறீர்களா?,"ஆம், நாங்கள் நிதி திட்டமிடல் சேவைகளை வழங்குகிறோம். தயவுசெய்து எங்கள் வலைத்தளத்தைப் பார்வையிடவும் அல்லது மேலும் தகவலுக்கு எங்கள் நிதி ஆலோசகர்களைத் தொடர்பு கொள்ளவும், ஆலோசனையைத் திட்டமிடவும்.",ta,unknown
Can I view my account history online?,"Yes, you can view your account history online by logging into your online banking account and accessing the 'Account History' section.",en,unknown
Was sind Ihre Richtlinien für Inaktivitätsgebühren?,Die Inaktivitätsgebühren und -richtlinien für Kontoen sind in unserem Gebührenplan aufgeführt. Bitte überprüfen Sie die Informationen auf unserer Website oder wenden Sie sich an den Kundendienst für Einzelheiten.,de,unknown
எனது தொடர்பு தகவலை எவ்வாறு மாற்றுவது?,"உங்கள் தொடர்புத் தகவலை மாற்ற, உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து உங்கள் விவரங்களை 'சுயவிவரம்' பிரிவில் புதுப்பிக்கவும்.",ta,unknown
காப்பீட்டு தயாரிப்புகளை வழங்குகிறீர்களா?,"ஆம், நாங்கள் பல்வேறு காப்பீட்டு தயாரிப்புகளை வழங்குகிறோம். காப்பீட்டு விருப்பங்கள் குறித்த கூடுதல் தகவலுக்கு எங்கள் வலைத்தளத்தைப் பார்வையிடவும் அல்லது வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.",ta,unknown
Civil engineering,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
Will you marry me,"I am not program for this, please ask appropriate query",en,random
How can I manage my account settings?,Manage your account settings by logging into your online banking account and accessing the 'Settings' section.,en,unknown
library facilities,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>",en,library
Wie kann ich meinen Stift ändern?,"Um Ihre PIN zu ändern, melden Sie sich in Ihr Online -Banking -Konto an oder besuchen Sie einen Geldautomaten und befolgen Sie die Anweisungen, um Ihre PIN zu aktualisieren.",de,unknown
Can I get help with understanding my account statement?,"Yes, you can get help with understanding your account statement by contacting customer service for clarification on any charges or details.",en,unknown
What is the fees of hostel,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>",en,fees
What should I do if I forget my online banking password?,Click on 'Forgot Password' on the login page and follow the instructions to reset your password using your registered email address.,en,unknown
college fee,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>",en,fees
what is the hostel fee,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>",en,hostel
வீட்டு புதுப்பிப்புக்கு நான் கடன் பெறலாமா?,"ஆம், வீட்டு புதுப்பிப்புக்கு நாங்கள் கடன்களை வழங்குகிறோம். உங்கள் விருப்பங்களைப் பற்றி கடன் அதிகாரியுடன் பேச ஆன்லைனில் விண்ணப்பிக்கவும் அல்லது ஒரு கிளையைப் பார்வையிடவும்.",ta,unknown
hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>",en,hostel
How do I set up auto-pay for my bills?,Set up auto-pay for your bills through our online banking portal or mobile app by selecting 'Bill Pay' and configuring automatic payments.,en,unknown
hostel servive,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>",en,hostel
scholarship for mechanical engineering,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
Kann ich ein Darlehen für ein Unternehmen bekommen?,"Ja, wir bieten Wirtschaftskredite an. Bewerben Sie sich online oder besuchen Sie eine Filiale, um Ihre Geschäftsdarlehensoptionen mit einem Kreditsachen zu besprechen.",de,unknown
புதிய வங்கிக் கணக்கை நான் எவ்வாறு திறப்பது?,"ஒரு புதிய வங்கிக் கணக்கைத் திறக்க, எங்கள் வலைத்தளத்தைப் பார்வையிட்டு 'திறந்த கணக்கு' என்பதைக் கிளிக் செய்க அல்லது உங்கள் அடையாள ஆவணங்களுடன் எங்கள் கிளைகளில் ஏதேனும் ஒன்றைப் பார்வையிடவும்.",ta,unknown
Was sind Ihre Verfahren zum Umgang mit betrügerischen Transaktionen?,"Verfahren zum Umgang mit betrügerischen Transaktionen sind auf unserer Website detailliert. Wenden Sie sich sofort an den Kundendienst, wenn Sie Betrug vermuten.",de,unknown
எனது அட்டையில் கடன் அதிகரிப்பு எவ்வாறு கோரலாம்?,உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து அல்லது உங்கள் கோரிக்கையைப் பற்றி விவாதிக்க வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலம் கடன் அதிகரிப்பைக் கோருங்கள்.,ta,unknown
எனது கணக்கு தகவலை எவ்வாறு சரிபார்க்க முடியும்?,உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து அல்லது உதவிக்கு வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலம் உங்கள் கணக்கு தகவலை சரிபார்க்கவும்.,ta,unknown
Wie kann ich ein Darlehen für ein neues Auto bekommen?,"Um einen Autokredit zu beantragen, besuchen Sie unsere Website, um die Online -Bewerbung abzuschließen oder eine Filiale zu besuchen, um mit einem Kreditsachen zu sprechen.",de,unknown
Wie kann ich eine Kopie meiner Kreditauskunft erhalten?,"Sie können eine Kopie Ihrer Kreditauskunft über die Kreditauskunfteien anfordern oder überprüfen, ob sie über Ihr Online -Banking -Konto verfügbar sind.",de,unknown
Can I get a copy of my account history?,"Yes, you can get a copy of your account history by logging into your online banking account and requesting the information through the 'Account Activity' section.",en,unknown
Wie kann ich Hilfe bei meinem Hypothekenantrag bekommen?,"Um Hilfe bei Ihrem Hypothekenantrag zu erhalten, wenden Sie sich an unsere Hypothekenabteilung oder besuchen Sie eine Filiale, um mit einem Kreditsachen zu sprechen.",de,unknown
okay,I am glad I helped you,en,salutaion
Bye,Sad to see you go :(,en,goodbye
How can I request a stop payment on a check?,Request a stop payment on a check by contacting our customer service or through online banking if the option is available.,en,unknown
scholarship for civil engineering,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
How can I get help with my mortgage application?,"For help with your mortgage application, contact our mortgage department or visit a branch to speak with a loan officer.",en,unknown
Wie kann ich meine Kontoinformationen überprüfen?,"Überprüfen Sie Ihre Kontoinformationen, indem Sie sich in Ihrem Online -Banking -Konto anmelden oder den Kundendienst anmelden, um Unterstützung zu erhalten.",de,unknown
What are your policies on account overdraft?,Our policies on overdraft protection and fees can be found on our website or by contacting customer service for specific details.,en,unknown
Wie richte ich ein gemeinsames Konto ein?,"Um ein gemeinsames Konto einzurichten, besuchen Sie eine Filiale oder wenden Sie sich an den Kundendienst, um die erforderlichen Unterlagen zu erledigen und alle Kontoinhaber zu identifizieren.",de,unknown
timing of college,College is open 8am-5pm Monday-Saturday!,en,hours
hod name,"HODs differ for each branch, please be more specific like: (HOD it)",en,hod
How can I check the status of my loan application?,"To check the status of your loan application, log into your online banking account or contact our loan department for updates.",en,unknown
Wie kann ich ein neues Scheckbuch bestellen?,"Sie können ein neues Scheckbuch über unser Online -Banking -Portal, mobile App oder einen unserer Filialen bestellen.",de,unknown
Was sind Ihre Richtlinien für zurückgegebene Schecks?,"Unsere Richtlinien für zurückgegebene Schecks, einschließlich Gebühren und Verfahren, finden Sie auf unserer Website oder durch Kontakt mit dem Kundendienst.",de,unknown
Kann ich einen Finanzberattermin bekommen?,"Ja, Sie können einen Termin bei einem Finanzberater vereinbaren, indem Sie sich an unser Büro kontaktieren oder unsere Website besuchen, um ein Treffen einzurichten.",de,unknown
How can I cancel a scheduled payment?,"To cancel a scheduled payment, log into your online banking account, navigate to 'Scheduled Payments,' and follow the instructions to cancel.",en,unknown
Was sind Ihre Gebühren für internationale Drahttransfers?,Gebühren für internationale Kabelübertragungen finden Sie in unserem Gebührenplan auf unserer Website oder durch Kontaktaufnahme mit dem Kundendienst.,de,unknown
do we have to wear uniform,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER,en,uniform
கார் கடனுக்கு நான் எவ்வாறு விண்ணப்பிக்க முடியும்?,ஆன்லைன் விண்ணப்பத்தை முடிக்க எங்கள் வலைத்தளத்தைப் பார்வையிடுவதன் மூலம் கார் கடனுக்கு விண்ணப்பிக்கவும் அல்லது கடன் அதிகாரியுடன் உங்கள் விருப்பங்களைப் பற்றி விவாதிக்க ஒரு கிளையைப் பார்வையிடவும்.,ta,unknown
civil scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
hostel facility,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>",en,hostel
Wie richte ich eine neue direkte Einzahlung ein?,"Richten Sie eine neue direkte Einzahlung ein, indem Sie Ihrem Arbeitgeber Ihre Bankkonto -Details und -anweisungen zur Verfügung stellen oder diese über Ihr Online -Banking -Konto konfigurieren.",de,unknown
Does college provide hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>",en,hostel
How can I request a bank statement?,"You can request a bank statement through online banking, our mobile app, or by contacting customer service to have a statement mailed to you.",en,unknown
documents needed for admision,"To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>",en,document
Wie kann ich ein neues Bankkonto eröffnen?,"Um ein neues Bankkonto zu eröffnen, besuchen Sie unsere Website und klicken Sie auf ""Open Account"" oder besuchen Sie unsere Filialen mit Ihren Ausweisdokumenten.",de,unknown
What is your policy on account inactivity fees?,Account inactivity fees and policies are detailed in our fee schedule. Please review the information on our website or contact customer service.,en,unknown
What are your fees for international wire transfers?,Fees for international wire transfers can be found on our fee schedule on our website or by contacting customer service.,en,unknown
what are your hours,College is open 8am-5pm Monday-Saturday!,en,hours
எனது கணக்கு அறிக்கையைப் புரிந்துகொள்ள நான் உதவி பெறலாமா?,"ஆம், ஏதேனும் கட்டணங்கள் அல்லது விவரங்கள் குறித்து தெளிவுபடுத்த வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலம் உங்கள் கணக்கு அறிக்கையைப் புரிந்துகொள்வதற்கான உதவியைப் பெறலாம்.",ta,unknown
Bieten Sie Finanzplanungsdienstleistungen an?,"Ja, wir bieten Finanzplanungsdienstleistungen an. Bitte besuchen Sie unsere Website oder wenden Sie sich an unsere Finanzberater, um weitere Informationen zu erhalten und eine Beratung zu vereinbaren.",de,unknown
Wie kann ich eine neue Debitkarte anfordern?,"Fordern Sie eine neue Debitkarte an, indem Sie sich an den Kundendienst wenden oder eine Filiale besuchen, um eine Ersatzkarte zu bestellen.",de,unknown
sports facilities,"Our university encourages all-round development of students and hence provides sports facilities in the campus. For more details visit<a target=""_blank"" href=/""(LINK IF HAVE)"">here</a>",en,sports
தற்காலிக கடன் வரம்பு அதிகரிப்பு பெற முடியுமா?,"தற்காலிக கடன் வரம்பு அதிகரிப்பைக் கோர, வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளுங்கள் அல்லது உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து தற்காலிக அதிகரிப்புக்கு விண்ணப்பிக்கவும்.",ta,unknown
Welche Optionen für Altersvorsorgekonten haben Sie?,"Wir bieten verschiedene Rentenkonto -Optionen an, einschließlich IRAs und 401 (k) s. Bitte besuchen Sie unsere Seite für die Altersvorsorge oder konsultieren Sie einen Finanzberater.",de,unknown
courses you offer,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
கணக்கு மூடல் கட்டணத்தில் உங்கள் கொள்கைகள் என்ன?,"கணக்கு மூடல் கட்டணம், ஏதேனும் இருந்தால், எங்கள் கட்டண அட்டவணையில் விவரிக்கப்பட்டுள்ளது. எங்கள் வலைத்தளத்தின் தகவல்களை மதிப்பாய்வு செய்யவும் அல்லது வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.",ta,unknown
courses?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
what is the college  hours,College is open 8am-5pm Monday-Saturday!,en,hours
Wie ändere ich meine Kontaktinformationen?,"Um Ihre Kontaktinformationen zu ändern, melden Sie sich in Ihr Online -Banking -Konto an und aktualisieren Sie Ihre Daten im Abschnitt ""Profil"".",de,unknown
Was sind die Vorteile eines Girokontos?,"Überprüfungskonten bieten Funktionen wie einfachen Zugriff auf Gelder, direkte Einzahlung und Überprüfung des Schreibens. Überprüfen Sie unsere Kontooptionen für weitere Details.",de,unknown
creators,College students,en,creator
list of courses offered,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
காசோலையில் பணம் செலுத்துவதை எவ்வாறு நிறுத்துவது?,"காசோலையில் பணம் செலுத்துவதை நிறுத்த, எங்கள் வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும் அல்லது உங்கள் கணக்கு விவரங்கள் மற்றும் காசோலை பற்றிய தகவல்களுடன் ஒரு கிளையைப் பார்வையிடவும்.",ta,unknown
where is college,"<a target=""_blank"" href=""ADD YOU GOOGLE MAP LINK HERE""> here</a>",en,location
Is there any uniform,ENTER YOUR OWN UNIVERSITY UNIFORM CIRCULER,en,uniform
வங்கி அறிக்கையை நான் எவ்வாறு கோர முடியும்?,"ஆன்லைன் வங்கி, எங்கள் மொபைல் பயன்பாடு அல்லது வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலம் உங்களுக்கு ஒரு அறிக்கை அனுப்பலாம்.",ta,unknown
எனது வரி ஆவணங்களை எவ்வாறு அணுகுவது?,உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து 'வரி ஆவணங்கள்' பிரிவுக்குச் செல்வதன் மூலம் உங்கள் வரி ஆவணங்களை அணுகவும்.,ta,unknown
Mechanical engineering,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
automobile scholarship,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
What should I do if I receive an unexpected charge on my account?,Review the charge details and contact customer service if you believe the charge is incorrect or unauthorized.,en,unknown
college timing,College is open 8am-5pm Monday-Saturday!,en,hours
when should i attend college,College is open 8am-5pm Monday-Saturday!,en,hours
Can I get help with budgeting and financial planning?,"Yes, we offer budgeting and financial planning assistance. Contact us to schedule a meeting with one of our financial advisors.",en,unknown
How can I request a new debit card?,Request a new debit card by contacting customer service or visiting a branch to order a replacement card.,en,unknown
Kann ich eine vorübergehende Überziehungsgrenze erhöhen?,"Ja, Sie können eine temporäre Überziehungsgrenze anfordern, indem Sie sich an den Kundendienst wenden oder eine Filiale besuchen, um Ihre Anforderungen zu besprechen.",de,unknown
How do I update my mailing address?,Update your mailing address by logging into your online banking account or contacting customer service to update your records.,en,unknown
How are you?,Hello!,en,greeting
How can I request a credit increase on my card?,Request a credit increase by logging into your online banking account or contacting customer service to discuss your request.,en,unknown
gtg,Sad to see you go :(,en,goodbye
what are the different committe in college,For the various committe in college contact this number: ADD NUMBER,en,committee
bitch,please use appropriate language,en,swear
phone no,You can contact at: NUMBER,en,number
what are the courses offered in your college?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
How can I get help with financial emergencies?,"For help with financial emergencies, contact customer service to discuss available options and support.",en,unknown
What is the process to dispute a transaction?,"To dispute a transaction, contact our customer service with your account details and information about the transaction you wish to dispute.",en,unknown
what is the fees of each year,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>",en,fees
Can I get assistance with budgeting?,"Yes, we offer budgeting assistance and financial planning services. Please contact us to schedule a consultation with one of our advisors.",en,unknown
What are your options for retirement accounts?,"We offer various retirement account options, including IRAs and 401(k)s. Please visit our retirement planning page or consult a financial advisor.",en,unknown
ஏடிஎம்மிலிருந்து நான் திரும்பப் பெறக்கூடிய அதிகபட்ச தொகை என்ன?,அதிகபட்ச ஏடிஎம் திரும்பப் பெறுதல் வரம்பு கணக்கு வகை மற்றும் இருப்பிடத்தால் மாறுபடும். உங்கள் கணக்கு விவரங்களுடன் சரிபார்க்கவும் அல்லது குறிப்பிட்ட வரம்புகளுக்கு வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.,ta,unknown
scholarship for chemical engineering,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
Cafetaria,Our university has canteen with variety of food available,en,canteen
exam dates,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",en,sem
Semester exam timetable,"Here is the Academic Calendar  <a target=""_blank"" href=""YOUR ACADEMIC CALENDER"">website</a>",en,sem
அங்கீகரிக்கப்பட்ட பயனரை எனது கணக்கில் எவ்வாறு சேர்ப்பது?,"அங்கீகரிக்கப்பட்ட பயனரைச் சேர்க்க, ஒரு கிளையைப் பார்வையிடவும் அல்லது உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து புதிய பயனரைச் சேர்க்க வழிமுறைகளைப் பின்பற்றவும்.",ta,unknown
how much is the fees,"For Fee detail visit <a target=""_blank"" href=""LINK""> here</a>",en,fees
library facility,"There is one huge and spacious library.timings are 8am to 6pm and for more visit <a target=""blank"" href=""ADD LIBRARY DETAIL LINK"">here</a>",en,library
கணக்கு குறைந்தபட்ச நிலுவைகள் குறித்த உங்கள் கொள்கை என்ன?,குறைந்தபட்ச நிலுவைகள் குறித்த எங்கள் கொள்கை கணக்கு வகையால் மாறுபடும். எங்கள் இணையதளத்தில் கணக்கு விவரங்களை மதிப்பாய்வு செய்யவும் அல்லது விவரங்களுக்கு வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.,ta,unknown
What is average package,"To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>",en,placement
hostel location,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>",en,hostel
எனது வங்கிக் கணக்கை எனது மொபைல் பணப்பையுடன் இணைக்க முடியுமா?,"ஆம், உங்கள் வங்கிக் கணக்கை உங்கள் மொபைல் பணப்பையுடன் இணைக்கலாம். உங்கள் கணக்கைச் சேர்க்க உங்கள் மொபைல் வாலட் பயன்பாடு வழங்கிய வழிமுறைகளைப் பின்பற்றவும்.",ta,unknown
Kann ich ein Darlehen für die Renovierung von Eigenheimen erhalten?,"Ja, wir bieten Kredite für die Renovierung von Heim. Bewerben Sie sich online oder besuchen Sie eine Filiale, um mit einem Kreditsachen über Ihre Optionen zu sprechen.",de,unknown
"Was soll ich tun, wenn ich eine verdächtige E -Mail erhalte, die behauptet, von der Bank zu sein?",Klicken Sie nicht auf Links oder geben Sie persönliche Informationen an. Leiten Sie die E -Mail an unsere Betrugsabteilung unter Betrug@example.com zur Untersuchung weiter.,de,unknown
seats,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",en,college intake
How do I activate my new credit card?,Activate your new credit card by calling the activation number provided with your card or by logging into your online banking account.,en,unknown
How do I transfer money between accounts?,"Log into your online banking account or mobile app, select 'Transfer Funds,' choose the accounts, and enter the amount you wish to transfer.",en,unknown
Bieten Sie persönliche Finanzberatung an?,"Ja, wir bieten persönliche Finanzierungsberatung und Finanzplanungsdienste an. Kontaktieren Sie uns, um ein Treffen mit einem unserer Finanzberater zu vereinbaren.",de,unknown
தனிப்பட்ட கடனுக்கு நான் எவ்வாறு விண்ணப்பிப்பது?,ஆன்லைன் விண்ணப்பத்தை முடிக்க எங்கள் வலைத்தளத்தைப் பார்வையிடுவதன் மூலம் தனிப்பட்ட கடனுக்கு விண்ணப்பிக்கவும் அல்லது கடன் அதிகாரியுடன் உங்கள் விருப்பங்களைப் பற்றி விவாதிக்க ஒரு கிளையைப் பார்வையிடவும்.,ta,unknown
Kann ich Hilfe bei Budgetierung und Finanzplanung bekommen?,"Ja, wir bieten Budget- und Finanzplanungshilfe an. Kontaktieren Sie uns, um ein Treffen mit einem unserer Finanzberater zu vereinbaren.",de,unknown
what documents do i need,"To know more about document required visit <a target=""_blank"" href=""ADD LINK OF ADMISSION GUIDANCE DOCUMENT FROM YOUR UNIVERSITY WEBSITE""> here</a>",en,document
infrastructure,Our University has Excellent Infrastructure. Campus is clean. Good IT Labs With Good Speed of Internet connection,en,infrastructure
different committee in college,For the various committe in college contact this number: ADD NUMBER,en,committee
heyy,Hello!,en,greeting
seat allotment,"For IT, Computer and extc 60 per branch and seat may be differ for different department.",en,college intake
Was sind Ihre Richtlinien für Inaktivitätsgebühren?,Die Inaktivitätsgebühren und -richtlinien für Kontoen sind in unserem Gebührenplan aufgeführt. Bitte überprüfen Sie die Informationen auf unserer Website oder wenden Sie sich an den Kundendienst für Einzelheiten.,de,unknown
Wie richte ich Online -Banking ein?,"Um Online -Banking einzurichten, besuchen Sie unsere Website und befolgen Sie die Anweisungen, um sich mit Ihren Kontoinformationen für Online -Zugriff zu registrieren.",de,unknown
what are you,You can call me Mind Reader.,en,name
How do I close my bank account?,"To close your bank account, visit a branch with your ID and any remaining checks or cards. Alternatively, you can request account closure through online banking.",en,unknown
பட்ஜெட் மற்றும் நிதி திட்டமிடல் குறித்து நான் உதவி பெற முடியுமா?,"ஆம், நாங்கள் பட்ஜெட் மற்றும் நிதி திட்டமிடல் உதவிகளை வழங்குகிறோம். எங்கள் நிதி ஆலோசகர்களில் ஒருவருடன் ஒரு கூட்டத்தை திட்டமிட எங்களைத் தொடர்பு கொள்ளுங்கள்.",ta,unknown
What is the maximum amount I can withdraw from an ATM?,The maximum ATM withdrawal limit varies by account type and location. Please check with your account details or contact customer service for specific limits.,en,unknown
Wie aktiviere ich eine neue Debitkarte?,"Aktivieren Sie Ihre neue Debitkarte, indem Sie die mit Ihrer Karte bereitgestellte Aktivierungsnummer oder anmelden, indem Sie sich in Ihrem Online -Banking -Konto anmelden.",de,unknown
ஓய்வூதிய திட்டமிடல் சேவைகளை வழங்குகிறீர்களா?,"ஆம், நாங்கள் ஓய்வூதிய திட்டமிடல் சேவைகளை வழங்குகிறோம். ஓய்வூதிய திட்டமிடல் ஆலோசகருடன் ஒரு கூட்டத்தை திட்டமிட எங்களைத் தொடர்பு கொள்ளுங்கள்.",ta,unknown
Where is hostel,"For hostel detail visit <a target=""_blank"" href=""ADD YOUR HOSTEL DETAIL PDF LINK OR ANY INFORMATION LINK OR ADD YOU OWN ANSWERS""> here</a>",en,hostel
Is scholarship available,"Many government scholarships are supported by our university. For details and updates visit <a target=""_blank"" href=""(SCHOLARSHIP DETAILS LINK)"">here</a>",en,scholarship
what can u do for me,I can answer to low-intermediate questions regarding college,en,task
what am i chatting to,You can call me Mind Reader.,en,name
Was ist Ihre Richtlinie für Drahtübertragungen?,"Unsere Richtlinien zu Wire -Überweisungen umfassen Gebühren und Grenzen, die auf unserer Website oder durch Kontakt mit dem Kundendienst für detaillierte Informationen zu finden sind.",de,unknown
principal,XYZ is college principal and if you need any help then call your branch hod first.That is more appropriate,en,principal
நீங்கள் வணிக வங்கி சேவைகளை வழங்குகிறீர்களா?,"ஆம், நாங்கள் பலவிதமான வணிக வங்கி சேவைகளை வழங்குகிறோம். தயவுசெய்து எங்கள் வணிக வங்கி பக்கத்தைப் பார்வையிடவும் அல்லது மேலும் தகவலுக்கு ஒரு பிரதிநிதியைத் தொடர்பு கொள்ளவும்.",ta,unknown
எனது அஞ்சல் முகவரியை எவ்வாறு புதுப்பிப்பது?,உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து அல்லது உங்கள் பதிவுகளைப் புதுப்பிக்க வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலம் உங்கள் அஞ்சல் முகவரியைப் புதுப்பிக்கவும்.,ta,unknown
Do you offer travel insurance?,"Yes, we offer travel insurance. Please visit our website or contact customer service for more information on travel insurance options.",en,unknown
Kann ich über einen Anruf auf mein Konto zugreifen?,"Die meisten Kontodienste sind über den Telefonsupport verfügbar. Wenden Sie sich an den Kundendienst, um Unterstützung mit Ihrem Konto über das Telefon zu erhalten.",de,unknown
Bieten Sie eine Reiseversicherung an?,"Ja, wir bieten eine Reiseversicherung an. Bitte besuchen Sie unsere Website oder wenden Sie sich an den Kundendienst, um weitere Informationen zu Reiseversicherungsoptionen zu erhalten.",de,unknown
branches available in UNI?,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
வணிக கிரெடிட் கார்டுக்கு நான் எவ்வாறு விண்ணப்பிப்பது?,எங்கள் வலைத்தளத்தைப் பார்வையிடுவதன் மூலமும் ஆன்லைன் விண்ணப்பத்தை நிறைவு செய்வதன் மூலமோ அல்லது எங்கள் வணிக கடன் துறையைத் தொடர்புகொள்வதன் மூலமோ வணிக கிரெடிட் கார்டுக்கு விண்ணப்பிக்கவும்.,ta,unknown
எனது முள் எவ்வாறு மாற்றுவது?,"உங்கள் முள் மாற்ற, உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைக அல்லது ஏடிஎம்மைப் பார்வையிடவும், உங்கள் முள் புதுப்பிக்க வழிமுறைகளைப் பின்பற்றவும்.",ta,unknown
companies visit,"To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>",en,placement
What is college placement,"To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>",en,placement
சேமிப்புக் கணக்குகளுக்கான உங்கள் தற்போதைய வட்டி விகிதங்கள் என்ன?,சேமிப்புக் கணக்குகளுக்கான வட்டி விகிதங்கள் குறித்த மிகவும் புதுப்பித்த தகவல்களுக்கு எங்கள் வலைத்தளத்தைப் பார்வையிடவும் அல்லது வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.,ta,unknown
How can I verify my account information?,Verify your account information by logging into your online banking account or contacting customer service for assistance.,en,unknown
companies,"To know about placement visit <a target=""_blank"" href=""PLACEMENT INFORMATION LINK FROM YOUR UNIVERSITY WEBSITE IF THEY HAVE"">here</a>",en,placement
courses offered,"Our university offers Information Technology, computer Engineering, Mechanical engineering,Chemical engineering, Civil engineering and extc Engineering.",en,course
