Query,Response,language,intent
நீங்கள் மொபைல் காசோலை வைப்புத்தொகையை வழங்குகிறீர்களா?,"ஆம், எங்கள் வங்கி பயன்பாட்டின் மூலம் மொபைல் காசோலை வைப்புத்தொகையை வழங்குகிறோம். காசோலையின் புகைப்படத்தை எடுத்து பயன்பாட்டில் உள்ள வழிமுறைகளைப் பின்பற்றவும்.",ta,unknown
காசோலையில் பணம் செலுத்துவதை எவ்வாறு நிறுத்துவது?,"காசோலையில் பணம் செலுத்துவதை நிறுத்த, எங்கள் வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும் அல்லது உங்கள் கணக்கு விவரங்கள் மற்றும் காசோலை பற்றிய தகவல்களுடன் ஒரு கிளையைப் பார்வையிடவும்.",ta,unknown
கணக்கு குறைந்தபட்ச நிலுவைகள் குறித்த உங்கள் கொள்கை என்ன?,குறைந்தபட்ச நிலுவைகள் குறித்த எங்கள் கொள்கை கணக்கு வகையால் மாறுபடும். எங்கள் இணையதளத்தில் கணக்கு விவரங்களை மதிப்பாய்வு செய்யவும் அல்லது விவரங்களுக்கு வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.,ta,unknown
அங்கீகரிக்கப்பட்ட பயனரை எனது கணக்கில் எவ்வாறு சேர்ப்பது?,"அங்கீகரிக்கப்பட்ட பயனரைச் சேர்க்க, ஒரு கிளையைப் பார்வையிடவும் அல்லது உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து புதிய பயனரைச் சேர்க்க வழிமுறைகளைப் பின்பற்றவும்.",ta,unknown
ஆன்லைன் வங்கியை எவ்வாறு அமைப்பது?,"ஆன்லைன் வங்கியை அமைக்க, எங்கள் வலைத்தளத்தைப் பார்வையிட்டு, உங்கள் கணக்கு தகவலைப் பயன்படுத்தி ஆன்லைன் அணுகலுக்கான பதிவு செய்வதற்கான வழிமுறைகளைப் பின்பற்றவும்.",ta,unknown
எளிதான நிர்வாகத்திற்காக பல கணக்குகளை இணைக்க முடியுமா?,"ஆம், எங்கள் ஆன்லைன் வங்கி தளம் அல்லது மொபைல் பயன்பாடு மூலம் எளிதாக மேலாண்மைக்கு பல கணக்குகளை இணைக்கலாம்.",ta,unknown
எனது கணக்கு விருப்பங்களை எவ்வாறு புதுப்பிப்பது?,உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து 'அமைப்புகள்' அல்லது 'விருப்பத்தேர்வுகள்' பிரிவுக்குச் செல்வதன் மூலம் உங்கள் கணக்கு விருப்பங்களை புதுப்பிக்கவும்.,ta,unknown
தற்காலிக கடன் வரம்பு அதிகரிப்பு பெற முடியுமா?,"தற்காலிக கடன் வரம்பு அதிகரிப்பைக் கோர, வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளுங்கள் அல்லது உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து தற்காலிக அதிகரிப்புக்கு விண்ணப்பிக்கவும்.",ta,unknown
எனது விண்ணப்பம் அங்கீகரிக்கப்பட்டுள்ளதா என்பதை நான் எவ்வாறு சரிபார்க்கிறேன்?,உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து அல்லது புதுப்பிப்புக்காக வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலம் உங்கள் பயன்பாட்டின் நிலையை சரிபார்க்கலாம்.,ta,unknown
எனது முள் எவ்வாறு மாற்றுவது?,"உங்கள் முள் மாற்ற, உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைக அல்லது ஏடிஎம்மைப் பார்வையிடவும், உங்கள் முள் புதுப்பிக்க வழிமுறைகளைப் பின்பற்றவும்.",ta,unknown
நீங்கள் முதலீட்டு சேவைகளை வழங்குகிறீர்களா?,"ஆம், நாங்கள் பலவிதமான முதலீட்டு சேவைகளை வழங்குகிறோம். தயவுசெய்து எங்கள் முதலீட்டு சேவைகள் பக்கத்தைப் பார்வையிடவும் அல்லது மேலும் தகவலுக்கு நிதி ஆலோசகரைத் தொடர்பு கொள்ளவும்.",ta,unknown
காசோலையில் நிறுத்தத்தை நான் எவ்வாறு கோரலாம்?,விருப்பம் கிடைத்தால் எங்கள் வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலம் அல்லது ஆன்லைன் வங்கி மூலம் காசோலையில் நிறுத்தக் கோருங்கள்.,ta,unknown
ஓய்வூதியக் கணக்குகளுக்கான உங்கள் விருப்பங்கள் என்ன?,ஐஆர்ஏஎஸ் மற்றும் 401 (கே) கள் உள்ளிட்ட பல்வேறு ஓய்வூதிய கணக்கு விருப்பங்களை நாங்கள் வழங்குகிறோம். தயவுசெய்து எங்கள் ஓய்வூதிய திட்டமிடல் பக்கத்தைப் பார்வையிடவும் அல்லது நிதி ஆலோசகரை அணுகவும்.,ta,unknown
பட்ஜெட்டில் நான் உதவி பெற முடியுமா?,"ஆம், நாங்கள் பட்ஜெட் உதவி மற்றும் நிதி திட்டமிடல் சேவைகளை வழங்குகிறோம். எங்கள் ஆலோசகர்களில் ஒருவருடன் ஆலோசனையைத் திட்டமிட தயவுசெய்து எங்களை தொடர்பு கொள்ளவும்.",ta,unknown
மின்-அறிக்கைகளில் நான் எவ்வாறு சேரலாம்?,"மின்-அறிக்கைகளில் சேர, உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து, மின்னணு விநியோகத்தைத் தேர்வுசெய்ய 'அறிக்கைகள்' பகுதியைத் தேர்ந்தெடுக்கவும்.",ta,unknown
வங்கியில் இருந்து வந்ததாகக் கூறி சந்தேகத்திற்கிடமான மின்னஞ்சலைப் பெற்றால் நான் என்ன செய்ய வேண்டும்?,எந்த இணைப்புகளையும் கிளிக் செய்ய வேண்டாம் அல்லது தனிப்பட்ட தகவல்களை வழங்க வேண்டாம். விசாரணைக்கு Frad@example.com இல் எங்கள் மோசடி துறைக்கு மின்னஞ்சலை அனுப்பவும்.,ta,unknown
எனது கடன் அறிக்கையின் நகலை எவ்வாறு பெறுவது?,கடன் அறிக்கையிடல் முகவர் மூலம் உங்கள் கடன் அறிக்கையின் நகலை நீங்கள் கோரலாம் அல்லது உங்கள் ஆன்லைன் வங்கி கணக்கு மூலம் கிடைக்குமா என்பதை சரிபார்க்கலாம்.,ta,unknown
நீங்கள் மாணவர் கணக்குகளை வழங்குகிறீர்களா?,"ஆம், சிறப்பு அம்சங்கள் மற்றும் நன்மைகளுடன் மாணவர் கணக்குகளை நாங்கள் வழங்குகிறோம். எங்கள் மாணவர் கணக்குகள் பக்கத்தைப் பார்வையிடவும் அல்லது விவரங்களுக்கு வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.",ta,unknown
எனது தொடர்பு தகவலை எவ்வாறு மாற்றுவது?,"உங்கள் தொடர்புத் தகவலை மாற்ற, உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து உங்கள் விவரங்களை 'சுயவிவரம்' பிரிவில் புதுப்பிக்கவும்.",ta,unknown
அசாதாரண கணக்கு செயல்பாட்டிற்கான விழிப்பூட்டல்களை நான் அமைக்க முடியுமா?,"ஆம், உங்கள் கணக்கை மிக நெருக்கமாக கண்காணிக்க எங்கள் ஆன்லைன் வங்கி தளம் அல்லது மொபைல் பயன்பாடு மூலம் அசாதாரண கணக்கு செயல்பாட்டிற்கான விழிப்பூட்டல்களை நீங்கள் அமைக்கலாம்.",ta,unknown
கம்பி இடமாற்றங்கள் குறித்த உங்கள் கொள்கை என்ன?,"கம்பி இடமாற்றங்கள் குறித்த எங்கள் கொள்கையில் கட்டணங்கள் மற்றும் வரம்புகள் உள்ளன, அவை எங்கள் இணையதளத்தில் அல்லது விரிவான தகவல்களுக்கு வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலம் காணலாம்.",ta,unknown
திட்டமிடப்பட்ட கட்டணத்தை நான் எவ்வாறு ரத்து செய்வது?,"திட்டமிடப்பட்ட கட்டணத்தை ரத்து செய்ய, உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து, 'திட்டமிடப்பட்ட கொடுப்பனவுகளுக்கு' செல்லவும், ரத்து செய்வதற்கான வழிமுறைகளைப் பின்பற்றவும்.",ta,unknown
எனது கணக்கு சமரசம் செய்யப்பட்டதாக நான் சந்தேகித்தால் நான் என்ன செய்ய வேண்டும்?,"சிக்கலைப் புகாரளிக்க உடனடியாக எங்கள் வாடிக்கையாளர் சேவையைத் தொடர்பு கொண்டு, மேலும் அங்கீகரிக்கப்படாத அணுகலில் இருந்து உங்கள் கணக்கைப் பாதுகாக்க நடவடிக்கை எடுக்கவும்.",ta,unknown
வீட்டு முன்னேற்றத்திற்கு நான் கடன் பெறலாமா?,"ஆம், வீட்டு முன்னேற்றத்திற்கு நாங்கள் கடன்களை வழங்குகிறோம். உங்கள் விருப்பங்களைப் பற்றி கடன் அதிகாரியுடன் பேச ஆன்லைனில் விண்ணப்பிக்கவும் அல்லது ஒரு கிளையைப் பார்வையிடவும்.",ta,unknown
எனது கணக்கு வகையில் மாற்றத்தை எவ்வாறு கோர முடியும்?,"உங்கள் கணக்கு வகையில் மாற்றத்தைக் கோர, வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளுங்கள் அல்லது கிடைக்கக்கூடிய விருப்பங்கள் மற்றும் தேவைகளைப் பற்றி விவாதிக்க ஒரு கிளையைப் பார்வையிடவும்.",ta,unknown
எனது கணக்கு அறிக்கைகளை ஆன்லைனில் எவ்வாறு அணுகுவது?,"உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து, உங்கள் கணக்கு அறிக்கைகளைக் காணவும் பதிவிறக்கவும் 'அறிக்கைகள்' பிரிவுக்கு செல்லவும்.",ta,unknown
கணக்கு ஓவர் டிராப்டில் உங்கள் கொள்கைகள் என்ன?,ஓவர் டிராஃப்ட் பாதுகாப்பு மற்றும் கட்டணங்கள் குறித்த எங்கள் கொள்கைகள் எங்கள் வலைத்தளத்தில் அல்லது குறிப்பிட்ட விவரங்களுக்கு வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலம் காணலாம்.,ta,unknown
ஆன்லைன் வங்கி சிக்கல்களுக்கு நான் எவ்வாறு உதவி பெற முடியும்?,"ஆன்லைன் வங்கி சிக்கல்களுக்கான உதவிக்கு, எங்கள் வாடிக்கையாளர் ஆதரவு குழுவைத் தொடர்பு கொள்ளுங்கள் அல்லது நேரில் உதவிக்கு ஒரு கிளையைப் பார்வையிடவும்.",ta,unknown
நீங்கள் வணிக வங்கி சேவைகளை வழங்குகிறீர்களா?,"ஆம், நாங்கள் பலவிதமான வணிக வங்கி சேவைகளை வழங்குகிறோம். தயவுசெய்து எங்கள் வணிக வங்கி பக்கத்தைப் பார்வையிடவும் அல்லது மேலும் தகவலுக்கு ஒரு பிரதிநிதியைத் தொடர்பு கொள்ளவும்.",ta,unknown
அருகிலுள்ள கிளை அல்லது ஏடிஎம் எப்படி நான் கண்டுபிடிப்பது?,எங்கள் வலைத்தளம் அல்லது மொபைல் பயன்பாட்டில் கிளை லொக்கேட்டர் கருவியைப் பயன்படுத்தி அருகிலுள்ள கிளை அல்லது ஏடிஎம் ஆகியவற்றைக் காணலாம்.,ta,unknown
மொபைல் பயன்பாடு மூலம் எனது கணக்கை அணுக முடியுமா?,"ஆம், iOS மற்றும் Android சாதனங்களில் பதிவிறக்குவதற்கு எங்கள் மொபைல் பயன்பாடு மூலம் உங்கள் கணக்கை அணுகலாம்.",ta,unknown
சர்வதேச கம்பி இடமாற்றங்களுக்கான உங்கள் கட்டணம் என்ன?,சர்வதேச கம்பி இடமாற்றங்களுக்கான கட்டணங்களை எங்கள் இணையதளத்தில் அல்லது வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலம் எங்கள் கட்டண அட்டவணையில் காணலாம்.,ta,unknown
எனது கணக்கு கடவுச்சொல்லை எவ்வாறு மாற்றுவது?,"உங்கள் கணக்கு கடவுச்சொல்லை மாற்ற, உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து, 'பாதுகாப்பு' அமைப்புகளுக்குச் சென்று, உங்கள் கடவுச்சொல்லைப் புதுப்பிக்க வழிமுறைகளைப் பின்பற்றவும்.",ta,unknown
கூட்டுக் கணக்கு வைத்திருப்பவரை நான் சேர்க்கலாமா?,"ஆம், ஒரு கிளையைப் பார்வையிடுவதன் மூலமோ அல்லது ஆன்லைன் வங்கி மூலம் உங்கள் கணக்கு விவரங்களை புதுப்பிப்பதன் மூலமோ கூட்டுக் கணக்கு வைத்திருப்பவரைச் சேர்க்கலாம்.",ta,unknown
கடன் அறிக்கையை நான் எவ்வாறு பெறுவது?,"உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து, வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலம் அல்லது ஒரு கிளையைப் பார்வையிடுவதன் மூலம் கடன் அறிக்கையை கோருங்கள்.",ta,unknown
நீங்கள் தனிப்பட்ட நிதி ஆலோசனைகளை வழங்குகிறீர்களா?,"ஆம், நாங்கள் தனிப்பட்ட நிதி ஆலோசனை மற்றும் நிதி திட்டமிடல் சேவைகளை வழங்குகிறோம். எங்கள் நிதி ஆலோசகர்களில் ஒருவருடன் ஒரு கூட்டத்தை திட்டமிட எங்களைத் தொடர்பு கொள்ளுங்கள்.",ta,unknown
புதிய டெபிட் கார்டை எவ்வாறு செயல்படுத்துவது?,உங்கள் அட்டையுடன் வழங்கப்பட்ட செயல்படுத்தும் எண்ணை அழைப்பதன் மூலம் அல்லது உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைவதன் மூலம் உங்கள் புதிய டெபிட் கார்டை செயல்படுத்தவும்.,ta,unknown
கணக்கு அறிவிப்புகளை நான் அமைக்க முடியுமா?,"ஆம், பல்வேறு கணக்கு நடவடிக்கைகளுக்கான விழிப்பூட்டல்களைப் பெற எங்கள் ஆன்லைன் வங்கி போர்டல் அல்லது மொபைல் பயன்பாடு மூலம் கணக்கு அறிவிப்புகளை அமைக்கலாம்.",ta,unknown
கிரெடிட் கார்டுக்கு நான் எவ்வாறு விண்ணப்பிப்பது?,"கிரெடிட் கார்டுக்கு விண்ணப்பிக்க, எங்கள் வலைத்தளத்தைப் பார்வையிட்டு ஆன்லைன் விண்ணப்ப படிவத்தை பூர்த்தி செய்யுங்கள் அல்லது நேரில் விண்ணப்பிக்க ஒரு கிளையைப் பார்வையிடவும்.",ta,unknown
பிரீமியம் கணக்கு வைத்திருப்பதன் நன்மைகள் என்ன?,"பிரீமியம் கணக்குகள் அதிக வட்டி விகிதங்கள், குறைந்த கட்டணம் மற்றும் பிரத்யேக சேவைகள் போன்ற கூடுதல் நன்மைகளை வழங்குகின்றன. மேலும் விவரங்களுக்கு எங்கள் வலைத்தளத்தைப் பார்க்கவும்.",ta,unknown
எனது மின்னஞ்சல் முகவரியை எவ்வாறு புதுப்பிக்க முடியும்?,உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து 'சுயவிவரம்' அல்லது 'தொடர்புத் தகவல்' பகுதியை அணுகுவதன் மூலம் உங்கள் மின்னஞ்சல் முகவரியைப் புதுப்பிக்கவும்.,ta,unknown
நிதி திட்டமிடலில் நான் உதவி பெற முடியுமா?,"ஆம், நாங்கள் நிதி திட்டமிடல் உதவியை வழங்குகிறோம். உங்கள் நிதிகளைத் திட்டமிடுவதற்கும் நிர்வகிப்பதற்கும் உதவி பெற எங்கள் நிதி ஆலோசகர்களைத் தொடர்பு கொள்ளுங்கள்.",ta,unknown
அடமானத்திற்கு விண்ணப்பிப்பதற்கான செயல்முறை என்ன?,"எங்கள் வலைத்தளத்தைப் பார்வையிடுவதன் மூலமும், ஆன்லைன் விண்ணப்பத்தை நிறைவு செய்வதன் மூலமும் அல்லது கடன் அதிகாரியுடன் உங்கள் விருப்பங்களைப் பற்றி விவாதிக்க ஒரு கிளையைப் பார்வையிடுவதன் மூலமும் அடமானத்திற்கு விண்ணப்பிக்கவும்.",ta,unknown
எனது பில்களுக்கு தானாக ஊதியத்தை எவ்வாறு அமைப்பது?,'பில் ஊதியம்' என்பதைத் தேர்ந்தெடுத்து தானியங்கி கொடுப்பனவுகளை உள்ளமைப்பதன் மூலம் எங்கள் ஆன்லைன் வங்கி போர்டல் அல்லது மொபைல் பயன்பாட்டின் மூலம் உங்கள் பில்களுக்கு தானாக ஊதியம் அமைக்கவும்.,ta,unknown
எனது கணக்கில் எதிர்பாராத கட்டணத்தைப் பெற்றால் நான் என்ன செய்ய வேண்டும்?,கட்டணம் தவறான அல்லது அங்கீகரிக்கப்படாதது என்று நீங்கள் நம்பினால் கட்டணம் விவரங்களை மதிப்பாய்வு செய்து வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளுங்கள்.,ta,unknown
எனது கணக்கு தகவலை எவ்வாறு சரிபார்க்க முடியும்?,உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து அல்லது உதவிக்கு வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலம் உங்கள் கணக்கு தகவலை சரிபார்க்கவும்.,ta,unknown
ஓய்வூதிய திட்டமிடல் சேவைகளை வழங்குகிறீர்களா?,"ஆம், நாங்கள் ஓய்வூதிய திட்டமிடல் சேவைகளை வழங்குகிறோம். ஓய்வூதிய திட்டமிடல் ஆலோசகருடன் ஒரு கூட்டத்தை திட்டமிட எங்களைத் தொடர்பு கொள்ளுங்கள்.",ta,unknown
எனது கிரெடிட் ஸ்கோரை எவ்வாறு சரிபார்க்கிறேன்?,எங்கள் ஆன்லைன் வங்கி தளத்தின் மூலம் அல்லது கடன் அறிக்கையிடல் முகவர் நிறுவனங்களிடமிருந்து கடன் அறிக்கையை கோருவதன் மூலம் உங்கள் கிரெடிட் ஸ்கோரை சரிபார்க்கலாம்.,ta,unknown
கணக்கு மூடல் கட்டணத்தில் உங்கள் கொள்கைகள் என்ன?,"கணக்கு மூடல் கட்டணம், ஏதேனும் இருந்தால், எங்கள் கட்டண அட்டவணையில் விவரிக்கப்பட்டுள்ளது. எங்கள் வலைத்தளத்தின் தகவல்களை மதிப்பாய்வு செய்யவும் அல்லது வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.",ta,unknown
நான் சர்வதேச அளவில் பணத்தை மாற்ற முடியுமா?,"ஆம், நீங்கள் சர்வதேச அளவில் பணத்தை மாற்றலாம். சர்வதேச பரிமாற்ற விருப்பங்கள் மற்றும் கட்டணங்கள் குறித்த விவரங்களுக்கு எங்கள் வலைத்தளத்தைப் பாருங்கள் அல்லது வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.",ta,unknown
சேதமடைந்த அட்டைக்கு மாற்றீட்டை எவ்வாறு பெறுவது?,"சேதமடைந்த அட்டைக்கு மாற்றாக, வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளுங்கள் அல்லது புதிய அட்டையை கோர ஒரு கிளையைப் பார்வையிடவும்.",ta,unknown
நீங்கள் மாணவர் கடன் சேவைகளை வழங்குகிறீர்களா?,"ஆம், நாங்கள் மாணவர் கடன் சேவைகளை வழங்குகிறோம். மாணவர் கடன் விருப்பங்கள் குறித்த தகவலுக்கு எங்கள் வலைத்தளத்தைப் பார்வையிடவும் அல்லது எங்கள் கடன் துறையைத் தொடர்பு கொள்ளவும்.",ta,unknown
எனது கிரெடிட் கார்டில் கட்டணம் வசூலிப்பது எப்படி?,"குற்றச்சாட்டை மறுக்க, கட்டணத்தின் விவரங்கள் மற்றும் எந்தவொரு துணை ஆவணங்களுடன் எங்கள் வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.",ta,unknown
கணக்கு செயலற்ற கட்டணத்தில் உங்கள் கொள்கை என்ன?,கணக்கு செயலற்ற கட்டணம் மற்றும் கொள்கைகள் எங்கள் கட்டண அட்டவணையில் விவரிக்கப்பட்டுள்ளன. எங்கள் வலைத்தளத்தின் தகவல்களை மதிப்பாய்வு செய்யவும் அல்லது வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.,ta,unknown
எளிதாக அணுக எனது கணக்குகளை இணைக்க முடியுமா?,"ஆம், எங்கள் ஆன்லைன் வங்கி தளம் அல்லது மொபைல் பயன்பாடு மூலம் எளிதாக அணுக உங்கள் கணக்குகளை இணைக்கலாம்.",ta,unknown
புதிய சேமிப்புக் கணக்கை எவ்வாறு அமைப்பது?,"புதிய சேமிப்புக் கணக்கை அமைக்க, எங்கள் வலைத்தளம் அல்லது ஒரு கிளையைப் பார்வையிட்டு தேவையான அடையாளம் மற்றும் ஆவணங்களை வழங்கவும்.",ta,unknown
எனது கணக்கு வகையை எவ்வாறு மாற்றுவது?,"உங்கள் கணக்கு வகையை மாற்ற, வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளுங்கள் அல்லது கிடைக்கக்கூடிய விருப்பங்கள் மற்றும் தேவைகளைப் பற்றி விவாதிக்க ஒரு கிளையைப் பார்வையிடவும்.",ta,unknown
நான் நிதி ஆலோசகர் நியமனம் பெறலாமா?,"ஆம், எங்கள் அலுவலகத்தைத் தொடர்புகொள்வதன் மூலமோ அல்லது ஒரு கூட்டத்தை அமைக்க எங்கள் வலைத்தளத்தைப் பார்வையிடுவதன் மூலமோ நிதி ஆலோசகருடன் சந்திப்பை திட்டமிடலாம்.",ta,unknown
வங்கியில் இருந்து வந்ததாகக் கூறி சந்தேகத்திற்கிடமான அழைப்பைப் பெற்றால் நான் என்ன செய்ய வேண்டும்?,எந்தவொரு தனிப்பட்ட தகவலையும் வழங்க வேண்டாம். அழைப்பின் சட்டபூர்வமான தன்மையை சரிபார்க்க எங்கள் அதிகாரப்பூர்வ தொலைபேசி எண்ணைப் பயன்படுத்தி வாடிக்கையாளர் சேவையைத் தொங்கவிட்டு தொடர்பு கொள்ளுங்கள்.,ta,unknown
எனது அட்டையில் கடன் அதிகரிப்பு எவ்வாறு கோரலாம்?,உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து அல்லது உங்கள் கோரிக்கையைப் பற்றி விவாதிக்க வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலம் கடன் அதிகரிப்பைக் கோருங்கள்.,ta,unknown
வீட்டு புதுப்பிப்புக்கு நான் கடன் பெறலாமா?,"ஆம், வீட்டு புதுப்பிப்புக்கு நாங்கள் கடன்களை வழங்குகிறோம். உங்கள் விருப்பங்களைப் பற்றி கடன் அதிகாரியுடன் பேச ஆன்லைனில் விண்ணப்பிக்கவும் அல்லது ஒரு கிளையைப் பார்வையிடவும்.",ta,unknown
சரிபார்ப்பு கணக்கை வைத்திருப்பதன் நன்மைகள் என்ன?,"கணக்குகளைச் சரிபார்ப்பது நிதிகளை எளிதாக அணுகுவது, நேரடி வைப்பு மற்றும் சோதனை எழுதுதல் போன்ற அம்சங்களை வழங்குகிறது. மேலும் விவரங்களுக்கு எங்கள் கணக்கு விருப்பங்களை மதிப்பாய்வு செய்யவும்.",ta,unknown
எனது அஞ்சல் முகவரியை எவ்வாறு புதுப்பிப்பது?,உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து அல்லது உங்கள் பதிவுகளைப் புதுப்பிக்க வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலம் உங்கள் அஞ்சல் முகவரியைப் புதுப்பிக்கவும்.,ta,unknown
நீங்கள் பயணக் காப்பீட்டை வழங்குகிறீர்களா?,"ஆம், நாங்கள் பயணக் காப்பீட்டை வழங்குகிறோம். பயண காப்பீட்டு விருப்பங்கள் குறித்த கூடுதல் தகவலுக்கு எங்கள் வலைத்தளத்தைப் பார்வையிடவும் அல்லது வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளவும்.",ta,unknown
நிதி அவசரநிலைகளுக்கு நான் எவ்வாறு உதவி பெற முடியும்?,"நிதி அவசரநிலைகளுக்கான உதவிக்கு, கிடைக்கக்கூடிய விருப்பங்கள் மற்றும் ஆதரவைப் பற்றி விவாதிக்க வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளுங்கள்.",ta,unknown
எனது கணக்கு செயல்பாட்டு வரலாற்றை நான் பார்க்க முடியுமா?,"ஆம், உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து 'கணக்கு செயல்பாடு' பிரிவை அணுகுவதன் மூலம் உங்கள் கணக்கு செயல்பாட்டு வரலாற்றைக் காணலாம்.",ta,unknown
எனது புதிய கிரெடிட் கார்டை எவ்வாறு செயல்படுத்துவது?,உங்கள் அட்டையுடன் வழங்கப்பட்ட செயல்படுத்தும் எண்ணை அழைப்பதன் மூலம் அல்லது உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைவதன் மூலம் உங்கள் புதிய கிரெடிட் கார்டை செயல்படுத்தவும்.,ta,unknown
கடன் ஒருங்கிணைப்புக்கான கடன் பெற முடியுமா?,"ஆம், கடன் ஒருங்கிணைப்புக்கான கடன்களை நாங்கள் வழங்குகிறோம். கடன் அதிகாரியுடன் உங்கள் விருப்பங்களைப் பற்றி விவாதிக்க ஆன்லைனில் விண்ணப்பிக்கவும் அல்லது ஒரு கிளையைப் பார்வையிடவும்.",ta,unknown
திரும்பிய காசோலைகளில் உங்கள் கொள்கை என்ன?,கட்டணம் மற்றும் நடைமுறைகள் உள்ளிட்ட திரும்பிய காசோலைகள் குறித்த எங்கள் கொள்கையை எங்கள் வலைத்தளத்திலோ அல்லது வாடிக்கையாளர் சேவையைத் தொடர்புகொள்வதன் மூலமோ காணலாம்.,ta,unknown
கணக்குகளுக்கு இடையில் தானியங்கி பரிமாற்றத்தை எவ்வாறு அமைப்பது?,"உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து, 'பரிமாற்ற நிதிகளை' தேர்ந்தெடுத்து, இடமாற்றங்களை திட்டமிடுவதன் மூலம் தானியங்கி பரிமாற்றத்தை அமைக்கவும்.",ta,unknown
வலை உலாவி மூலம் எனது கணக்கை அணுக முடியுமா?,"ஆம், எங்கள் ஆன்லைன் வங்கி தளத்தில் உள்நுழைவதன் மூலம் வலை உலாவி மூலம் உங்கள் கணக்கை அணுகலாம்.",ta,unknown
எனது திரும்பப் பெறுதல் வரம்பில் தற்காலிக அதிகரிப்பு எவ்வாறு கோர முடியும்?,"உங்கள் திரும்பப் பெறுதல் வரம்பில் தற்காலிக அதிகரிப்பு கோர, வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளுங்கள் அல்லது உங்கள் கோரிக்கையைப் பற்றி விவாதிக்க ஒரு கிளையைப் பார்வையிடவும்.",ta,unknown
நீங்கள் கணக்கு பாதுகாப்பு சேவைகளை வழங்குகிறீர்களா?,"ஆம், நாங்கள் கணக்கு பாதுகாப்பு சேவைகளை வழங்குகிறோம். கிடைக்கக்கூடிய பாதுகாப்பு விருப்பங்கள் குறித்த தகவலுக்கு வாடிக்கையாளர் சேவையைத் தொடர்பு கொள்ளுங்கள் அல்லது எங்கள் வலைத்தளத்தைப் பார்வையிடவும்.",ta,unknown
எனது வரி ஆவணங்களை எவ்வாறு அணுகுவது?,உங்கள் ஆன்லைன் வங்கி கணக்கில் உள்நுழைந்து 'வரி ஆவணங்கள்' பிரிவுக்குச் செல்வதன் மூலம் உங்கள் வரி ஆவணங்களை அணுகவும்.,ta,unknown
பட்ஜெட் மற்றும் நிதி திட்டமிடல் குறித்து நான் உதவி பெற முடியுமா?,"ஆம், நாங்கள் பட்ஜெட் மற்றும் நிதி திட்டமிடல் உதவிகளை வழங்குகிறோம். எங்கள் நிதி ஆலோசகர்களில் ஒருவருடன் ஒரு கூட்டத்தை திட்டமிட எங்களைத் தொடர்பு கொள்ளுங்கள்.",ta,unknown
